author_id,author_username,home_team_id,followed_team_ids
u_000046,runnersup_casual3323,men_JUNI_juniper-ridge-a-m-timberwolves,men_JUNI_juniper-ridge-a-m-timberwolves|men_LAKE_lakeshore-poly-ironmen
u_000047,freethrow_guy6138,men_GULL_gulliford-university-sabers,men_GULL_gulliford-university-sabers|men_WIND_windmere-state-ravens|men_DUNM_dunmore-foxes
u_000048,shotclock_poster6231,men_WIND_windmere-state-ravens,men_WIND_windmere-state-ravens|men_GULL_gulliford-university-sabers|men_DUNM_dunmore-foxes
u_000049,courtside_analyst2084,men_JUNI_juniper-ridge-a-m-timberwolves,men_JUNI_juniper-ridge-a-m-timberwolves|men_LAKE_lakeshore-poly-ironmen
u_000050,rimrun_hype3144,men_LAKE_lakeshore-poly-ironmen,men_LAKE_lakeshore-poly-ironmen|men_JUNI_juniper-ridge-a-m-timberwolves
u_000051,hoops_analyst2373,men_WIND_windmere-state-ravens,men_WIND_windmere-state-ravens|men_GULL_gulliford-university-sabers|men_DUNM_dunmore-foxes
u_000052,hardwood_truther8551,men_INGL_inglewood-bay-college-mariners,men_INGL_inglewood-bay-college-mariners
u_000053,shotclock_fan8165,men_MARB_marbury-state-comets,men_MARB_marbury-state-comets|men_TIDE_tidewater-tech-cyclones|men_INGL_inglewood-bay-college-mariners
u_000054,screenassist_enjoyer5083,men_JUNI_juniper-ridge-a-m-timberwolves,men_JUNI_juniper-ridge-a-m-timberwolves|men_LAKE_lakeshore-poly-ironmen
u_000055,midrange_enjoyer9190,men_JUNI_juniper-ridge-a-m-timberwolves,men_JUNI_juniper-ridge-a-m-timberwolves|men_LAKE_lakeshore-poly-ironmen
u_000056,midrange_diehard8349,men_MARB_marbury-state-comets,men_MARB_marbury-state-comets|men_TIDE_tidewater-tech-cyclones|men_INGL_inglewood-bay-college-mariners
u_000057,buckets_casual2377,men_TIDE_tidewater-tech-cyclones,men_TIDE_tidewater-tech-cyclones|men_INGL_inglewood-bay-college-mariners|men_MARB_marbury-state-comets
u_000058,shotclock_hater8251,men_JUNI_juniper-ridge-a-m-timberwolves,men_JUNI_juniper-ridge-a-m-timberwolves|men_LAKE_lakeshore-poly-ironmen
u_000059,rimrun_truther7805,men_TIDE_tidewater-tech-cyclones,men_TIDE_tidewater-tech-cyclones|men_MARB_marbury-state-comets|men_INGL_inglewood-bay-college-mariners
